"Bundesland / Messnetz";Stationscode;Stationsname;Stationsumgebung;"Art der Station";"Jahresmittelwert in µg/m³";"Zahl der Stundenmittelwerte über 200 µg/m³*"
Hessen;DEHE102;"Offenbach Untere Grenzstraße I";"städtisches Gebiet";Verkehr;38;
Hessen;DEHE103;"Offenbach Bieberer Straße";"städtisches Gebiet";Verkehr;31;
Hessen;DEHE104;"Offenbach Mainstraße";"städtisches Gebiet";Verkehr;38;
Hessen;DEHE111;"Rüsselsheim Rugby-Ring";"städtisches Gebiet";Verkehr;31;
Hessen;DEHE112;"Wiesbaden Schiersteiner Straße";"städtisches Gebiet";Verkehr;37;0
Hessen;DEHE116;"Offenbach Untere Grenzstraße";"städtisches Gebiet";Verkehr;31;0
Hessen;DEHE131;"Limburg Schiede";"städtisches Gebiet";Verkehr;35;0
Hessen;DEHE132;"Darmstadt Hügelstraße I";"städtisches Gebiet";Verkehr;42;
Hessen;DEHE133;"Bensheim Nibelungenstraße";"städtisches Gebiet";Verkehr;34;
Hessen;DEHE136;"Frankfurt Battonnstraße";"städtisches Gebiet";Verkehr;40;
Hessen;DEHE138;"Darmstadt Heinrichstraße II";"städtisches Gebiet";Verkehr;32;
Hessen;DEHE139;"Frankfurt Am Erlenbruch I";"städtisches Gebiet";Verkehr;35;
Hessen;DEHE140;"Frankfurt Am Erlenbruch II";"städtisches Gebiet";Verkehr;40;
Hessen;DEHE142;"Marburg Universitätsstraße I";"städtisches Gebiet";Verkehr;31;
Hessen;DEHE143;"Alsfeld I";"städtisches Gebiet";Verkehr;23;
Hessen;DEHE146;"Frankfurt Pforzheimer Straße";"städtisches Gebiet";Verkehr;32;
Hamburg;DEHH026;"Hamburg Stresemannstraße";"städtisches Gebiet";Verkehr;34;0
Hamburg;DEHH064;"Hamburg Kieler Straße";"städtisches Gebiet";Verkehr;37;0
Hamburg;DEHH068;"Hamburg Habichtstraße";"städtisches Gebiet";Verkehr;41;0
Hamburg;DEHH070;"Hamburg Max-Brauer-Allee II (Straße)";"städtisches Gebiet";Verkehr;36;0
Mecklenburg-Vorpommern;DEMV020;"Rostock Am Strande";"städtisches Gebiet";Verkehr;28;0
Mecklenburg-Vorpommern;DEMV022;Rostock-Holbeinplatz;"städtisches Gebiet";Verkehr;23;0
Mecklenburg-Vorpommern;DEMV023;Schwerin-Obotritenring;"städtisches Gebiet";Verkehr;14;0
Mecklenburg-Vorpommern;DEMV025;Stralsund-Knieperdamm;"städtisches Gebiet";Verkehr;15;0
Mecklenburg-Vorpommern;DEMV058;"Neubrandenburg Woldegker Straße";"städtisches Gebiet";Verkehr;21;0
